district,Kode Wilayah,,,regency_code,code
Mekarsari (Mekar Sari),63,04,13,6304,630413
Melagi,95,07,39,9507,950739
Melagineri,95,07,06,9507,950706
Melak,64,07,06,6407,640706
Melaya,51,01,04,5101,510104
Meliau,61,03,20,6103,610320
Melinting,18,07,17,1807,180717
Melonguane,71,04,07,7104,710407
Melonguane Timur,71,04,16,7104,710416
Meluhu,74,02,25,7402,740225
Membalong,19,02,02,1902,190202
Membey,92,12,03,9212,921203
Mempawah Hilir,61,02,01,6102,610201
Mempawah Hulu,61,08,02,6108,610802
Mempawah Timur,61,02,18,6102,610218
Mempura,14,08,13,1408,140813
Mendahara,15,07,03,1507,150703
Mendahara Ulu,15,07,09,1507,150709
Mendawai,62,06,09,6206,620609
Mendo Barat,19,01,04,1901,190104
Mendoyo,51,01,02,5101,510102
Menes,36,01,13,3601,360113
Menganti,35,25,13,3525,352513
Menggala,18,05,02,1805,180502
Menggala Timur,18,05,30,1805,180530
Mengkendek,73,18,12,7318,731812
Mengwi,51,03,02,5103,510302
Menjalin,61,08,03,6108,610803
Menou,94,01,15,9401,940115
Mentarang,65,02,01,6502,650201
Mentarang Hulu,65,02,12,6502,650212
Mentawa Baru Ketapang,62,02,06,6202,620206
Mentaya Hilir Selatan,62,02,08,6202,620208
Mentaya Hilir Utara,62,02,07,6202,620207
Mentaya Hulu,62,02,03,6202,620203
Mentebah,61,06,20,6106,610620
Menteng,31,71,06,3171,317106
Menthobi Raya,62,09,05,6209,620905
Mentok (Muntok),19,05,01,1905,190501
Menui Kepulauan,72,06,07,7206,720607
Menukung,61,10,04,6110,611004
Menyuke,61,08,06,6108,610806
Meos Mansar,92,05,11,9205,920511
Mepanga,72,08,12,7208,720812
Meraksa Aji,18,05,26,1805,180526
Merakurak,35,23,13,3523,352313
Meral,21,02,04,2102,210204
Meral Barat,21,02,10,2102,210210
Meranti,12,09,08,1209,120908
Meranti,61,08,08,6108,610808
Merapi Barat,16,04,09,1604,160409
Merapi Selatan,16,04,26,1604,160426
Merapi Timur,16,04,23,1604,160423
Merauke,93,01,01,9301,930101
Merawang,19,01,03,1901,190103
Merbau,14,10,05,1410,141005
Merbau Mataram,18,01,18,1801,180118
Merdeka,12,06,15,1206,120615
Merdey,92,06,02,9206,920602
Merek,12,06,05,1206,120605
Mergangsan,34,71,12,3471,347112
Merigi,17,08,05,1708,170805
Merigi Kelindang,17,09,07,1709,170907
Merigi Sakti,17,09,08,1709,170908
Merlung,15,06,05,1506,150605
Mersam,15,04,01,1504,150401
Mertoyudan,33,08,10,3308,330810
Mesidah,11,17,09,1117,111709
Mesjid Raya,11,06,09,1106,110609
Messawa,76,03,07,7603,760307
Mestong,15,05,05,1505,150505
Mesuji,16,02,04,1602,160204
Mesuji,18,11,01,1811,181101
Mesuji Makmur,16,02,20,1602,160220
Mesuji Raya,16,02,21,1602,160221
Mesuji Timur,18,11,02,1811,181102
Metro Barat,18,72,03,1872,187203
Metro Kibang,18,07,10,1807,180710
Metro Pusat,18,72,01,1872,187201
Metro Selatan,18,72,05,1872,187205
Metro Timur,18,72,04,1872,187204
Metro Utara,18,72,02,1872,187202
Meukek,11,01,05,1101,110105
Meurah Dua,11,18,05,1118,111805
Meurah Mulia,11,08,07,1108,110807
Meuraxa,11,71,03,1171,117103
Meureubo,11,05,09,1105,110509
Meureudu,11,18,01,1118,111801
Mewoluk,94,02,04,9402,940204
Meyado (Mayado),92,06,23,9206,920623
Miangas,71,04,13,7104,710413
Midai,21,03,04,2103,210304
Mihing Raya,62,10,07,6210,621007
Mijen,33,21,10,3321,332110
Mijen,33,74,14,3374,337414
Mila,11,07,11,1107,110711
Milimbo,95,07,18,9507,950718
Mimika Barat,94,04,04,9404,940404
Mimika Barat Jauh,94,04,11,9404,940411
Mimika Barat Tengah,94,04,12,9404,940412
Mimika Baru,94,04,01,9404,940401
Mimika Tengah,94,04,08,9404,940408
Mimika Timur,94,04,03,9404,940403
Mimika Timur Jauh,94,04,07,9404,940407
Minas,14,08,03,1408,140803
Minasa Tene,73,10,10,7310,731010
Mindiptana,93,02,02,9302,930202
Minggir,34,04,04,3404,340404
Minyambaouw,92,12,09,9212,921209
Minyamur,93,03,09,9303,930309
Miomaffo Barat (Miomafo Barat),53,03,02,5303,530302
Miomaffo Tengah (Miomafo Tengah),53,03,11,5303,530311
Miomaffo Timur (Miomafo Timur),53,03,01,5303,530301
Miri,33,14,14,3314,331414
Miri Manasa,62,10,09,6210,621009
Mirit,33,05,08,3305,330508
Misool (Misool Utara),92,05,01,9205,920501
Misool Barat,92,05,16,9205,920516
Misool Selatan,92,05,13,9205,920513
Misool Timur,92,05,06,9205,920506
Miyah,92,09,02,9209,920902
Miyah Selatan,92,09,16,9209,920916
Mlandingan,35,12,04,3512,351204
Mlarak,35,02,08,3502,350208
Mlati,34,04,06,3404,340406
Mlonggo,33,20,07,3320,332007
Moa (Moa Lakor),81,08,01,8108,810801
Moba,95,08,28,9508,950828
Modayag,71,10,04,7110,711004
Modayag Barat,71,10,05,7110,711005
Modo,35,24,03,3524,352403
Modoinding,71,05,01,7105,710501
Modung,35,26,16,3526,352616
Mofinop,95,02,29,9502,950229
Moga,33,27,01,3327,332701
Moilong,72,01,14,7201,720114
Moisegen,92,01,42,9201,920142
Mojo,35,06,02,3506,350602
Mojoagung,35,17,06,3517,351706
Mojoanyar,35,16,18,3516,351618
Mojogedang,33,13,15,3313,331315
Mojolaban,33,11,08,3311,331108
Mojoroto,35,71,01,3571,357101
Mojosari,35,16,08,3516,351608
Mojosongo,33,09,06,3309,330906
Mojotengah,33,07,11,3307,330711
Mojowarno,35,17,07,3517,351707
Mokoni,95,07,16,9507,950716
Molagalome,95,01,28,9501,950128
Molanikime,94,02,16,9402,940216
Molawe,74,09,04,7409,740904
Mollo Barat,53,02,22,5302,530222
Mollo Selatan,53,02,02,5302,530202
Mollo Tengah,53,02,30,5302,530230
Mollo Utara,53,02,03,5302,530203
Molu Maru,81,03,18,8103,810318
Momi Waren,92,11,05,9211,921105
Momunu,72,05,01,7205,720501
Monano,75,05,09,7505,750509
Moncongloe (Moncong Loe),73,09,13,7309,730913
Mondokan,33,14,16,3314,331416
Monta,52,06,01,5206,520601
Montallat (Montalat),62,05,01,6205,620501
Montasik (Mantasiek),11,06,05,1106,110605
Monterado,61,07,08,6107,610708
Montong,35,23,10,3523,352310
Montong Gading,52,03,11,5203,520311
Mooat,71,10,07,7110,711007
Mook Manaar Bulatn,64,07,18,6407,640718
Moora,94,01,13,9401,940113
Mootilango,75,01,14,7501,750114
Moraid,92,09,08,9209,920908
Moramo,74,05,10,7405,740510
Moramo Utara,74,05,16,7405,740516
Mori Atas,72,12,05,7212,721205
Mori Utara,72,12,06,7212,721206
Moro,21,02,01,2102,210201
Moro'o,12,25,04,1225,122504
Moronge,71,04,17,7104,710417
Morosi,74,02,39,7402,740239
Morotai Jaya,82,07,03,8207,820703
Morotai Selatan,82,07,01,8207,820701
Morotai Selatan Barat,82,07,02,8207,820702
Morotai Timur,82,07,05,8207,820705
Morotai Utara,82,07,04,8207,820704
Moskona Barat,92,06,22,9206,920622
Moskona Selatan,92,06,05,9206,920605
Moskona Timur,92,06,24,9206,920624
Moskona Utara,92,06,06,9206,920606
Moswaren,92,04,10,9204,920410
Moti,82,71,04,8271,827104
Motoling,71,05,07,7105,710507
Motoling Barat,71,05,21,7105,710521
Motoling Timur,71,05,22,7105,710522
Motongkad,71,10,06,7110,711006
Motui,74,09,10,7409,740910
Moutong,72,08,04,7208,720804
Mowewe,74,11,07,7411,741107
Mowila,74,05,15,7405,740515
Moyo Hilir,52,04,09,5204,520409
Moyo Hulu,52,04,10,5204,520410
Moyo Utara,52,04,23,5204,520423
Moyudan,34,04,03,3404,340403
Mpunda,52,72,05,5272,527205
Mpur,92,09,26,9209,920926
Mranggen,33,21,01,3321,332101
Mrebet,33,03,08,3303,330308
Muara,12,02,15,1202,120215
Muara,95,07,37,9507,950737
Muara,94,02,12,9402,940212
Muara Ancalong,64,08,01,6408,640801
Muara Badak,64,02,05,6402,640205
Muara Bangka Hulu,17,71,04,1771,177104
Muara Batang Gadis,12,13,17,1213,121317
Muara Batang Toru,12,03,29,1203,120329
Muara Batu,11,08,06,1108,110806
Muara Belida,16,03,22,1603,160322
Muara Beliti,16,05,09,1605,160509
Muara Bengkal,64,08,03,6408,640803
Muara Bulian,15,04,03,1504,150403
Muara Dua,11,73,01,1173,117301
Muara Dua (Muaradua),16,09,01,1609,160901
Muara Dua Kisam (Muaradua Kisam),16,09,04,1609,160904
Muara Enim,16,03,02,1603,160302
Muara Harus,63,09,08,6309,630908
Muara Jawa,64,02,14,6402,640214
Muara Jaya,16,01,31,1601,160131
Muara Kaman,64,02,11,6402,640211
Muara Kelingi,16,05,03,1605,160503
Muara Kemumu,17,08,08,1708,170808
Muara Komam,64,01,07,6401,640107
Muara Kuang,16,10,01,1610,161001
Muara Lakitan,16,05,02,1605,160502
Muara Lawa,64,07,09,6407,640709
Muara Muntai,64,02,01,6402,640201
Muara Padang,16,07,07,1607,160707
Muara Pahu,64,07,10,6407,640710
Muara Papalik,15,06,09,1506,150609
Muara Pawan,61,04,17,6104,610417
Muara Pinang,16,11,01,1611,161101
Muara Sabak Barat,15,07,07,1507,150707
Muara Sabak Timur,15,07,01,1507,150701
Muara Sahung,17,04,11,1704,170411
Muara Samu,64,01,10,6401,640110
Muara Satu,11,73,04,1173,117304
Muara Siau,15,02,03,1502,150203
Muara Sipongi,12,13,12,1213,121312
Muara Sugihan,16,07,13,1607,160713
Muara Sungkai,18,03,15,1803,180315
Muara Tabir,15,09,12,1509,150912
Muara Tami,91,71,04,9171,917104
Muara Telang,16,07,08,1607,160708
Muara Tembesi,15,04,02,1504,150402
Muara Tiga,11,07,12,1107,110712
Muara Uya,63,09,07,6309,630907
Muara Wahau,64,08,02,6408,640802
Muara Wis,64,02,18,6402,640218
Muaragembong (Muara Gembong),32,16,17,3216,321617
Muarapayang,16,04,28,1604,160428
Mubrani,92,09,12,9209,920912
Mugi,95,08,06,9508,950806
Mugi,95,03,15,9503,950315
Muko-muko Bathin VII,15,08,08,1508,150808
Mukok,61,03,02,6103,610302
Mulak Sebingkai,16,04,30,1604,160430
Mulak Ulu,16,04,15,1604,160415
Mulia,94,02,01,9402,940201
Muliama,95,01,32,9501,950132
Mulyorejo,35,78,26,3578,357826
Mumbulsari,35,09,23,3509,350923
Muncang,36,02,05,3602,360205
Muncar,35,10,05,3510,351005
Mundu,32,09,12,3209,320912
Mungka,13,07,11,1307,130711
Mungkajang,73,73,08,7373,737308
Mungkid,33,08,09,3308,330809
Munjul,36,01,08,3601,360108
Munjungan,35,03,02,3503,350302
Munte,12,06,06,1206,120606
Muntilan,33,08,08,3308,330808
Murhum,74,72,06,7472,747206
Murkim,95,02,28,9502,950228
Muruk Rian,65,04,05,6504,650405
Murung,62,12,01,6212,621201
Murung Pudak,63,09,06,6309,630906
Musaik,95,03,12,9503,950312
Musatfak,95,01,07,9501,950107
Musi,53,03,12,5303,530312
Mustikajaya (Mustika Jaya),32,75,11,3275,327511
Musuk,33,09,04,3309,330904
Mutiara,11,07,13,1107,110713
Mutiara Timur,11,07,24,1107,110724
Muting,93,01,02,9301,930102
Mutis,53,03,13,5303,530313
Muye,94,03,14,9403,940314
Na IX - X (Na IX-X),12,23,06,1223,122306
Nabire,94,01,01,9401,940101
Nabire Barat,94,01,12,9401,940112
Nabunage,95,04,17,9504,950417
Naga Juang,12,13,23,1213,121323
Naga Wutung,53,13,01,5313,531301
Nagrak,32,02,12,3202,320212
Nagreg,32,04,26,3204,320426
Naibenu,53,03,18,5303,530318
Naikere,92,07,07,9207,920707
Nainggolan,12,17,03,1217,121703
Nakama,94,03,15,9403,940315
Nalca,95,03,06,9503,950306
Nalo Tantan (Nalo Tatan),15,02,11,1502,150211
Nalumsari,33,20,12,3320,332012
Naman Teran (Nama Teran),12,06,16,1206,120616
Namang,19,04,05,1904,190405
Nambluong,91,03,14,9103,910314
Nambo,72,01,23,7201,720123
Nambo,74,71,11,7471,747111
Namlea,81,04,01,8104,810401
Namo Rambe (Namorambe),12,07,06,1207,120706
Namohalu Esiwa,12,24,05,1224,122405
Namrole,81,09,01,8109,810901
Nan Sabaris,13,05,03,1305,130503
Nanaet Duabesi,53,04,23,5304,530423
Nanga Mahap,61,09,04,6109,610904
Nanga Pinoh,61,10,02,6110,611002
Nanga Taman,61,09,03,6109,610903
Nanga Tayap,61,04,11,6104,610411
Nangapanda,53,08,01,5308,530801
Nangaroro,53,16,02,5316,531602
Nanggala,73,26,03,7326,732603
Nanggalo,13,71,10,1371,137110
Nanggulan,34,01,10,3401,340110
Nanggung,32,01,21,3201,320121
Nanusa,71,04,05,7104,710405
Napabalano,74,03,06,7403,740306
Napal Putih,17,03,13,1703,170313
Napan,94,01,02,9401,940102
Napano Kusambi,74,13,11,7413,741311
Napua,95,01,13,9501,950113
Naringgul,32,03,24,3203,320324
Narmada,52,01,03,5201,520103
Nasal,17,04,07,1704,170407
Nassau,12,12,21,1212,121221
Natal,12,13,16,1213,121316
Natar,18,01,04,1801,180104
Naukenjerai,93,01,12,9301,930112
Nawangan,35,01,07,3501,350107
Ndao Nuse,53,14,09,5314,531409
Ndona,53,08,05,5308,530805
Ndona Timur,53,08,16,5308,530816
Ndori,53,08,17,5308,530817
Ndoso,53,15,08,5315,531508
Negara,51,01,01,5101,510101
Negara Batin,18,08,11,1808,180811
Negeri Agung,18,08,07,1808,180807
Negeri Besar,18,08,12,1808,180812
Negeri Katon,18,09,02,1809,180902
Neglasari,36,71,10,3671,367110
Nekamese,53,01,16,5301,530116
Nelawi,95,04,13,9504,950413
Nelle (Maumerei),53,07,07,5307,530707
Neney,92,11,03,9211,921103
Nenggeagin,95,08,30,9508,950830
Ngabang,61,08,01,6108,610801
Ngablak,33,08,17,3308,330817
Ngadiluwih,35,06,04,3506,350604
Ngadirejo,33,23,09,3323,332309
Ngadirojo,33,12,13,3312,331213
Ngadirojo,35,01,11,3501,350111
Ngadu Ngala,53,11,21,5311,531121
Ngaglik,34,04,12,3404,340412
Ngajum (Ngajung),35,07,20,3507,350720
Ngaliyan,33,74,15,3374,337415
Ngambon,35,22,03,3522,352203
Ngambur,18,13,09,1813,181309
Ngampel,33,24,19,3324,332419
Ngampilan,34,71,06,3471,347106
Ngamprah,32,17,06,3217,321706
Ngancar,35,06,07,3506,350607
Nganjuk,35,18,13,3518,351813
Ngantang,35,07,27,3507,350727
Ngantru,35,04,04,3504,350404
Ngapa,74,08,06,7408,740806
Ngaras (Bengkunat Belimbing),18,13,10,1813,181310
Ngargoyoso,33,13,07,3313,331307
Ngariboyo,35,20,16,3520,352016
Ngaringan,33,15,09,3315,331509
Ngasem,35,22,04,3522,352204
Ngasem,35,06,25,3506,350625
Ngawen,34,03,13,3403,340313
Ngawen,33,16,12,3316,331612
Ngawen,33,10,22,3310,331022
Ngawi,35,21,09,3521,352109
Ngebel,35,02,19,3502,350219
Ngemplak,34,04,11,3404,340411
Ngemplak,33,09,11,3309,330911
Ngetos,35,18,02,3518,351802
Nggaha Ori Angu (Nggaha Oriangu),53,11,04,5311,531104
Ngguti,93,01,16,9301,930116
Ngimbang,35,24,04,3524,352404
Nglegok,35,05,09,3505,350509
Nglipar,34,03,02,3403,340302
Ngluwar,33,08,03,3308,330803
Ngluyu,35,18,18,3518,351818
Ngombol,33,06,02,3306,330602
Ngoro,35,17,03,3517,351703
Ngoro,35,16,05,3516,351605
Ngraho,35,22,01,3522,352201
Ngrambe,35,21,02,3521,352102
Ngrampal,33,14,08,3314,331408
Ngrayun,35,02,02,3502,350202
Ngronggot,35,18,07,3518,351807
Nguling,35,14,21,3514,351421
Nguntoronadi,35,20,17,3520,352017
Nguntoronadi,33,12,06,3312,331206
Ngunut,35,04,11,3504,350411
Ngusikan,35,17,21,3517,351721
Nguter,33,11,05,3311,331105
Nibong,11,08,21,1108,110821
Nibung,16,13,03,1613,161303
Nibung Hangus,12,19,12,1219,121912
Nikiwar,92,07,12,9207,920712
Nikogwe,95,07,36,9507,950736
Nimbokrang,91,03,08,9103,910308
Nimboran,91,03,07,9103,910307
Niname,95,07,11,9507,950711
Ninati,93,02,17,9302,930217
Ninia,95,03,03,9503,950303
Nioga,94,02,22,9402,940222
Nipah Panjang,15,07,02,1507,150702
Nipsan,95,03,22,9503,950322
Nirkuri,95,08,19,9508,950819
Nirunmas,81,03,09,8103,810309
Nisam,11,08,16,1108,110816
Nisam Antara,11,08,27,1108,110827
Nita,53,07,04,5307,530704
Noebana,53,02,24,5302,530224
Noebeba,53,02,26,5302,530226
Noemuti,53,03,04,5303,530304
Noemuti Timur,53,03,10,5303,530310
Nogi,95,07,12,9507,950712
Nogosari,33,09,12,3309,330912
Nokilalaki,72,10,03,7210,721003
Nonggunong,35,29,21,3529,352921
Nongme,95,02,34,9502,950234
Nongsa,21,71,04,2171,217104
Nosu,76,03,13,7603,760313
Noyan,61,03,03,6103,610303
Nuangan,71,10,03,7110,711003
Nubatukan,53,13,05,5313,531305
Nuha,73,24,02,7324,732402
Nuhon,72,01,13,7201,720113
Numba,95,04,21,9504,950421
Nume,94,02,06,9402,940206
Numfor Barat,91,06,04,9106,910604
Numfor Timur,91,06,05,9106,910605
Nunbena,53,02,32,5302,530232
Nunggawi,95,04,19,9504,950419
Nunkolo,53,02,17,5302,530217
Nunukan,65,03,02,6503,650302
Nunukan Selatan,65,03,09,6503,650309
Nurussalam,11,03,06,1103,110306
Nusa Laut,81,01,16,8101,810116
Nusa Penida (Nusapenida),51,05,01,5105,510501
Nusa Tabukan,71,03,09,7103,710309
Nusaherang,32,08,20,3208,320820
Nusaniwe (Nusanive),81,71,01,8171,817101
Nusawani,91,05,17,9105,910517
Nusawungu,33,01,05,3301,330105
Nyalindung,32,02,39,3202,320239
Nyuatan,64,07,16,6407,640716
O'o'u (Oou),12,14,21,1214,121421
Oba,82,72,03,8272,827203
Oba Selatan,82,72,07,8272,827207
Oba Tengah,82,72,06,8272,827206
Oba Utara,82,72,02,8272,827202
Obaa,93,03,01,9303,930301
Obi,82,04,06,8204,820406
Obi Barat,82,04,28,8204,820428
Obi Selatan,82,04,05,8204,820405
Obi Timur,82,04,29,8204,820429
Obi Utara,82,04,30,8204,820430
Obio,95,03,08,9503,950308
Oebobo,53,71,04,5371,537104
Oenino,53,02,18,5302,530218
Ogamanim,94,05,12,9405,940512
Ogodeide,72,04,05,7204,720405
Oheo,74,09,08,7409,740908
Ok Aom,95,02,16,9502,950216
Okaba,93,01,03,9301,930103
Okbab,95,02,25,9502,950225
Okbape,95,02,12,9502,950212
Okbemtau,95,02,23,9502,950223
Okbibab,95,02,03,9502,950203
Okhika,95,02,20,9502,950220
Oklip,95,02,22,9502,950222
Oksamol,95,02,21,9502,950221
Oksebang,95,02,24,9502,950224
Oksibil,95,02,01,9502,950201
Oksop,95,02,14,9502,950214
Omben,35,27,05,3527,352705
Omesuri,53,13,06,5313,531306
Omukia,94,05,20,9405,940520
Onan Ganjang,12,16,08,1216,121608
Onan Runggu,12,17,02,1217,121702
Onembute,74,02,37,7402,740237
Oneri,94,05,22,9405,940522
Ongka Malino,72,08,22,7208,720822
Onohazumba,12,14,22,1214,121422
Onolalu,12,14,33,1214,121433
Oransbari,92,11,02,9211,921102
Oridek,91,06,20,9106,910620
Orkeri,91,06,17,9106,910617
Orong Telu,52,04,28,5204,520428
Oudate,91,15,11,9115,911511
Paal Dua,71,71,11,7171,717111
Paal Merah,15,71,11,1571,157111
Pabean Cantian (Pabean Cantikan),35,78,12,3578,357812
Pabedilan,32,09,04,3209,320904
Pabelan,33,22,05,3322,332205
Paberiwai,53,11,12,5311,531112
Pabuaran,36,04,28,3604,360428
Pabuaran,32,09,33,3209,320933
Pabuaran,32,13,05,3213,321305
Pabuaran,32,02,37,3202,320237
Pacar,53,15,11,5315,531511
Pace,35,18,05,3518,351805
Pacet,35,16,03,3516,351603
Pacet,32,04,30,3204,320430
Pacet,32,03,10,3203,320310
Paciran,35,24,14,3524,352414
Pacitan,35,01,04,3501,350104
Padaherang,32,18,07,3218,321807
Padaido,91,06,10,9106,910610
Padakembang,32,06,29,3206,320629
Padalarang,32,17,08,3217,321708
Padamara,33,03,15,3303,330315
Padang,35,08,14,3508,350814
Padang Barat,13,71,03,1371,137103
Padang Batung,63,06,02,6306,630602
Padang Bolak,12,20,04,1220,122004
Padang Bolak Julu,12,20,05,1220,122005
Padang Bolak Tenggara,12,20,10,1220,122010
Padang Cermin,18,09,05,1809,180905
Padang Ganting,13,04,11,1304,130411
Padang Gelugur,13,08,17,1308,130817
Padang Guci Hilir,17,04,14,1704,170414
Padang Guci Hulu,17,04,15,1704,170415
Padang Hilir,12,76,03,1276,127603
Padang Hulu,12,76,01,1276,127601
Padang Jaya,17,03,09,1703,170309
Padang Laweh,13,10,09,1310,131009
Padang Panjang Barat,13,74,02,1374,137402
Padang Panjang Timur,13,74,01,1374,137401
Padang Ratu,18,02,03,1802,180203
Padang Sago,13,05,12,1305,130512
Padang Selatan,13,71,01,1371,137101
Padang Tiji,11,07,14,1107,110714
Padang Timur,13,71,02,1371,137102
Padang Tualang,12,05,12,1205,120512
Padang Ulak Tanding,17,02,07,1702,170207
Padang Utara,13,71,04,1371,137104
Padangan,35,22,19,3522,352219
Padangguni,74,02,38,7402,740238
Padangsidimpuan Angkola Julu,12,77,06,1277,127706
Padangsidimpuan Batunadua,12,77,03,1277,127703
Padangsidimpuan Hutaimbaru,12,77,04,1277,127704
Padangsidimpuan Selatan,12,77,02,1277,127702
Padangsidimpuan Tenggara,12,77,05,1277,127705
Padangsidimpuan Utara,12,77,01,1277,127701
Padarincang,36,04,29,3604,360429
Padas,35,21,08,3521,352108
Pademangan,31,72,05,3172,317205
Pademawu,35,28,02,3528,352802
Padua,93,01,21,9301,930121
Padureso,33,05,24,3305,330524
Paga,53,07,01,5307,530701
Pagaden,32,13,07,3213,321307
Pagaden Barat,32,13,28,3213,321328
Pagai Selatan,13,09,10,1309,130910
Pagai Utara,13,09,01,1309,130901
Pagak,35,07,02,3507,350702
Pagaleme,94,02,09,9402,940209
Pagar Alam Selatan,16,72,02,1672,167202
Pagar Alam Utara,16,72,01,1672,167201
Pagar Dewa,18,04,20,1804,180420
Pagar Dewa,18,12,08,1812,181208
Pagar Gunung,16,04,22,1604,160422
Pagar Jati,17,09,05,1709,170905
Pagar Merbau,12,07,31,1207,120731
Pagaran,12,02,10,1202,120210
Pagaran Tapah Darussalam,14,06,14,1406,140614
Pagedangan,36,03,22,3603,360322
Pagedongan,33,04,20,3304,330420
Pagelaran,36,01,09,3601,360109
Pagelaran,32,03,18,3203,320318
Pagelaran,35,07,33,3507,350733
Pagelaran,18,10,05,1810,181005
Pagelaran Utara,18,10,09,1810,181009
Pagentan,33,04,14,3304,330414
Pagerageung,32,06,38,3206,320638
Pagerbarang,33,28,05,3328,332805
Pageruyung (Pagerruyung),33,24,02,3324,332402
Pagerwojo,35,04,06,3504,350406
Pagimana,72,01,07,7201,720107
Pagindar,12,15,06,1215,121506
Pagu,35,06,11,3506,350611
Paguat,75,04,05,7504,750405
Paguyaman,75,02,01,7502,750201
Paguyaman Pantai,75,02,07,7502,750207
Paguyangan,33,29,04,3329,332904
Pahae Jae,12,02,06,1202,120206
Pahae Julu,12,02,05,1202,120205
Pahandut,62,71,01,6271,627101
Pahunga Lodu,53,11,10,5311,531110
Paiton,35,13,12,3513,351312
Pajangan,34,02,07,3402,340207
Pajar Bulan,16,04,12,1604,160412
Pajo,52,05,08,5205,520508
Paju Epat,62,13,07,6213,621307
Pajukukang,73,03,05,7303,730305
Pakal,35,78,30,3578,357830
Pakantan,12,13,21,1213,121321
Pakel,35,04,18,3504,350418
Pakem,34,04,16,3404,340416
Pakem,35,11,17,3511,351117
Pakenjeng,32,05,33,3205,320533
Pakis,33,08,16,3308,330816
Pakis,35,07,18,3507,350718
Pakis Aji,33,20,15,3320,332015
Pakisaji,35,07,19,3507,350719
Pakisjaya,32,15,12,3215,321512
Pakkat,12,16,09,1216,121609
Pakong,35,28,09,3528,352809
Paku,62,13,09,6213,621309
Pakualaman,34,71,11,3471,347111
Pakuan Ratu,18,08,06,1808,180806
Pakue,74,08,02,7408,740802
Pakue Tengah,74,08,10,7408,740810
Pakue Utara,74,08,11,7408,740811
Pakuhaji,36,03,15,3603,360315
Pakuniran,35,13,10,3513,351310
Pakusari,35,09,24,3509,350924
Pal Merah (Palmerah),31,73,07,3173,317307
Palabuhanratu (Pelabuhanratu),32,02,01,3202,320201
Palakka,73,08,15,7308,730815
Palang,35,23,18,3523,352318
Palangga,74,05,04,7405,740504
Palangga (Pallangga),73,06,07,7306,730607
Palangga Selatan,74,05,14,7405,740514
Palaran,64,72,01,6472,647201
Palas,18,01,10,1801,180110
Palasa,72,08,18,7208,720818
Palasah,32,10,19,3210,321019
Paleleh,72,05,05,7205,720505
Paleleh Barat,72,05,11,7205,720511
Palembayan (Pelembayan),13,06,11,1306,130611
"Palengaan (Palenggaan, Palenga'an)",35,28,06,3528,352806
Paleteang,73,15,11,7315,731511
Palibelo,52,06,18,5206,520618
Palimanan,32,09,17,3209,320917
Palipi,12,17,04,1217,121704
Paliyan,34,03,05,3403,340305
Palmatak,21,05,02,2105,210502
Paloh,61,01,08,6101,610108
Palolo,72,10,02,7210,721002
Palu Barat,72,71,02,7271,727102
Palu Selatan,72,71,03,7271,727103
Palu Timur,72,71,01,7271,727101
Palu Utara,72,71,04,7271,727104
Palue,53,07,06,5307,530706
Palupuh,13,06,10,1306,130610
Pamanukan,32,13,11,3213,321311
Pamarayan,36,04,24,3604,360424
Pamarican,32,07,19,3207,320719
Pamatang Sidamanik (Pematang Sidamanik),12,08,10,1208,120810
Pamatang Silima Huta (Pematang),12,08,31,1208,120831
Pamboang,76,05,02,7605,760502
Pamek,95,02,33,9502,950233
Pamekasan,35,28,04,3528,352804
Pamenang,15,02,06,1502,150206
Pamenang Barat,15,02,13,1502,150213
Pamenang Selatan,15,02,20,1502,150220
Pameungpeuk,32,04,14,3204,320414
Pameungpeuk,32,05,27,3205,320527
Pamijahan,32,01,17,3201,320117
Paminggir,63,08,09,6308,630809
Pammana,73,13,02,7313,731302
Pamona Barat,72,02,20,7202,720220
Pamona Puselemba,72,02,04,7202,720204
Pamona Selatan,72,02,06,7202,720206
Pamona Tenggara,72,02,26,7202,720226
Pamona Timur,72,02,05,7202,720205
Pamona Utara,72,02,27,7202,720227
Pamotan,33,17,07,3317,331707
Pampangan,16,02,12,1602,160212
Pamukan Barat,63,02,19,6302,630219
Pamukan Selatan,63,02,11,6302,630211
Pamukan Utara,63,02,13,6302,630213
Pamulang,36,74,06,3674,367406
Pamulihan,32,05,34,3205,320534
Pamulihan,32,11,13,3211,321113
Pana,76,03,04,7603,760304
Panaga,95,04,09,9504,950409
Panai Hilir,12,10,19,1210,121019
Panai Hulu,12,10,20,1210,121020
Panai Tengah,12,10,18,1210,121018
Panakkukang,73,71,09,7371,737109
Panang Enim,16,03,27,1603,160327
Panarukan,35,12,06,3512,351206
Panawangan,32,07,10,3207,320710
Panca Jaya,18,11,06,1811,181106
Panca Lautang,73,14,01,7314,731401
Panca Rijang,73,14,05,7314,731405
Pancalang,32,08,22,3208,320822
Pancatengah,32,06,04,3206,320604
Panceng,35,25,03,3525,352503
Pancoran,31,74,08,3174,317408
Pancoran Mas,32,76,01,3276,327601
Pancung Soal,13,01,01,1301,130101
Pancur,33,17,11,3317,331711
Pancur Batu,12,07,05,1207,120705
Pandaan,35,14,11,3514,351411
Pandak,34,02,06,3402,340206
Pandan,12,01,03,1201,120103
Pandanarum,33,04,19,3304,330419
Pandawai,53,11,07,5311,531107
