district,Kode Wilayah,,,regency_code,code
Animha,93,01,13,9301,930113
Anjatan,32,12,23,3212,321223
Anjir Muara,63,04,04,6304,630404
Anjir Pasar,63,04,03,6304,630403
Anjongan,61,02,16,6102,610216
Anotaurei,91,05,15,9105,910515
Anreapi,76,04,13,7604,760413
Antang Kalang,62,02,10,6202,620210
Antapani (Cicadas),32,73,20,3273,327320
Anyar,36,04,30,3604,360430
Apalapsili,95,06,02,9506,950602
Apawer Hulu,91,10,09,9110,911009
Aradide,94,03,03,9403,940303
Arahan,32,12,19,3212,321219
Aralle,76,03,02,7603,760302
Aramo,12,14,15,1214,121415
Aranday,92,06,04,9206,920604
Aranio,63,03,11,6303,630311
Arcamanik,32,73,24,3273,327324
Argapura,32,10,05,3210,321005
Argomulyo,33,73,03,3373,337303
Arguni,92,03,13,9203,920313
Arimop,93,02,09,9302,930209
Arjasa,35,09,22,3509,350922
Arjasa,35,12,11,3512,351211
Arjasa,35,29,24,3529,352924
Arjasari,32,04,16,3204,320416
Arjawinangun,32,09,24,3209,320924
Arjosari,35,01,06,3501,350106
Arma Jaya,17,03,21,1703,170321
Aroba,92,06,16,9206,920616
Arongan Lambalek,11,05,07,1105,110507
Arosbaya,35,26,05,3526,352605
Arse,12,03,14,1203,120314
Arso,91,11,02,9111,911102
Arso Barat,91,11,08,9111,911108
Arso Timur,91,11,06,9111,911106
Aru Selatan,81,07,02,8107,810702
Aru Selatan Timur,81,07,09,8107,810709
Aru Selatan Utara,81,07,10,8107,810710
Aru Tengah,81,07,03,8107,810703
Aru Tengah Selatan,81,07,08,8107,810708
Aru Tengah Timur,81,07,07,8107,810707
Aru Utara,81,07,04,8107,810704
Aru Utara Timur Batuley,81,07,05,8107,810705
Arungkeke,73,04,09,7304,730409
Arut Selatan,62,01,02,6201,620102
Arut Utara,62,01,04,6201,620104
Asakota,52,72,03,5272,527203
Asam Jujuhan,13,10,10,1310,131010
Asem Rowo (Asemrowo),35,78,28,3578,357828
Asembagus,35,12,13,3512,351213
Asera,74,09,01,7409,740901
Ases,92,09,15,9209,920915
Asinua,74,02,31,7402,740231
Asologaima,95,01,03,9501,950103
Asolokobal,95,01,09,9501,950109
Asotipo,95,01,36,9501,950136
Asparaga,75,01,21,7501,750121
Assue,93,03,06,9303,930306
Astambul,63,03,07,6303,630307
Astana Anyar,32,73,10,3273,327310
Astanajapura,32,09,10,3209,320910
Aswi,93,04,21,9304,930421
Atadei,53,13,02,5313,531302
Atambua Barat,53,04,21,5304,530421
Atambua Selatan,53,04,22,5304,530422
Atinggola,75,05,01,7505,750501
